scale,capability,region,radius,radius_label,n,mean_delta,median_delta,std_delta,min_delta,max_delta,p_delta_gt_0,density_ge_0.0,density_ge_0.02,density_ge_0.05,positive_thicket_mass,negative_mass,q25,q50,q75,q90,q95
7B,ocr_text_recognition_grounded,vision,0.017849414271899712,mid,64,-0.0037500000000000033,0.0,0.0078062474979980045,-0.020000000000000018,0.0,0.0,0.8125,0.0,0.0,0.0,0.0037500000000000033,0.0,0.0,0.0,0.0,0.0
7B,relational_reasoning,vision,0.017849414271899712,mid,64,-0.018437500000000016,-0.020000000000000018,0.019781521522623094,-0.06000000000000005,0.020000000000000018,0.09375,0.3125,0.09375,0.0,0.0018750000000000017,0.020312500000000018,-0.040000000000000036,-0.020000000000000018,0.0,0.0,0.020000000000000018
7B,fine_grained_recognition,vision,0.017849414271899712,mid,64,-0.0006250000000000075,0.0,0.010588171466310881,-0.020000000000000018,0.019999999999999962,0.125,0.84375,0.0,0.0,0.0024999999999999953,0.0031250000000000028,0.0,0.0,0.0,0.019999999999999962,0.019999999999999962
7B,visual_grounding,vision,0.07139765708759885,transition,64,0.028750000000000036,0.030000000000000027,0.02570870475150392,-0.019999999999999907,0.08000000000000007,0.78125,0.90625,0.78125,0.203125,0.030625000000000027,0.0018749999999999913,0.020000000000000018,0.030000000000000027,0.040000000000000036,0.06000000000000005,0.06000000000000005
7B,counting,vision,0.07139765708759885,transition,64,-0.04499999999999993,-0.039999999999999925,0.023184046238739268,-0.07999999999999996,0.020000000000000018,0.015625,0.046875,0.015625,0.0,0.0003125000000000003,0.045312499999999936,-0.05999999999999994,-0.039999999999999925,-0.019999999999999907,-0.019999999999999907,-0.019999999999999907
7B,spatial_reasoning,vision,0.07139765708759885,transition,64,0.013750000000000012,0.020000000000000018,0.010532687216470457,-0.020000000000000018,0.040000000000000036,0.6875,0.984375,0.6875,0.0,0.014062500000000012,0.0003125000000000003,0.0,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018
7B,ocr_text_recognition_grounded,vision,0.07139765708759885,transition,64,-0.008937500000000003,0.0,0.014278343522621936,-0.04800000000000004,0.020000000000000018,0.109375,0.578125,0.015625,0.0,0.0008750000000000008,0.009812500000000004,-0.020000000000000018,0.0,0.0,0.0042000000000000206,0.006000000000000005
7B,relational_reasoning,vision,0.07139765708759885,transition,64,-0.0015625000000000153,0.0,0.02507605618413709,-0.06000000000000005,0.039999999999999925,0.3125,0.65625,0.3125,0.0,0.008749999999999994,0.01031250000000001,-0.020000000000000018,0.0,0.020000000000000018,0.039999999999999925,0.039999999999999925
7B,fine_grained_recognition,vision,0.07139765708759885,transition,64,0.010624999999999982,0.0,0.01694430213965744,-0.020000000000000018,0.03999999999999998,0.484375,0.90625,0.140625,0.0,0.012499999999999983,0.0018750000000000017,0.0,0.0,0.019999999999999962,0.03999999999999998,0.03999999999999998
7B,visual_grounding,multimodal_connector_or_merger,0.0035698828543799426,small,64,0.0050000000000000044,0.0,0.009354143466934861,0.0,0.040000000000000036,0.234375,1.0,0.234375,0.0,0.0050000000000000044,0.0,0.0,0.0,0.0,0.020000000000000018,0.020000000000000018
7B,counting,multimodal_connector_or_merger,0.0035698828543799426,small,64,-0.0015624999999999927,0.0,0.005367363761661746,-0.019999999999999907,0.0,0.0,0.921875,0.0,0.0,0.0,0.0015624999999999927,0.0,0.0,0.0,0.0,0.0
7B,spatial_reasoning,multimodal_connector_or_merger,0.0035698828543799426,small,64,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7B,ocr_text_recognition_grounded,multimodal_connector_or_merger,0.0035698828543799426,small,64,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7B,relational_reasoning,multimodal_connector_or_merger,0.0035698828543799426,small,64,-0.026562500000000024,-0.020000000000000018,0.014166283695803934,-0.040000000000000036,0.0,0.0,0.140625,0.0,0.0,0.0,0.026562500000000024,-0.040000000000000036,-0.020000000000000018,-0.020000000000000018,0.0,0.0
7B,fine_grained_recognition,multimodal_connector_or_merger,0.0035698828543799426,small,64,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7B,visual_grounding,multimodal_connector_or_merger,0.017849414271899712,mid,64,0.004375000000000004,0.0,0.008267972847076855,0.0,0.020000000000000018,0.21875,1.0,0.21875,0.0,0.004375000000000004,0.0,0.0,0.0,0.0,0.020000000000000018,0.020000000000000018
7B,counting,multimodal_connector_or_merger,0.017849414271899712,mid,64,-0.0018749999999999913,0.0,0.005829611908180482,-0.019999999999999907,0.0,0.0,0.90625,0.0,0.0,0.0,0.0018749999999999913,0.0,0.0,0.0,0.0,0.0
7B,spatial_reasoning,multimodal_connector_or_merger,0.017849414271899712,mid,64,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7B,ocr_text_recognition_grounded,multimodal_connector_or_merger,0.017849414271899712,mid,64,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7B,relational_reasoning,multimodal_connector_or_merger,0.017849414271899712,mid,64,-0.027812500000000025,-0.040000000000000036,0.01565933727045945,-0.06000000000000005,0.020000000000000018,0.03125,0.109375,0.03125,0.0,0.0006250000000000006,0.028437500000000025,-0.040000000000000036,-0.040000000000000036,-0.020000000000000018,-0.005999999999999948,0.0
7B,fine_grained_recognition,multimodal_connector_or_merger,0.017849414271899712,mid,64,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7B,visual_grounding,multimodal_connector_or_merger,0.07139765708759885,transition,64,0.00875000000000001,0.0,0.011659223816361025,-0.019999999999999907,0.040000000000000036,0.421875,0.984375,0.421875,0.0,0.009062500000000008,0.00031249999999999854,0.0,0.0,0.020000000000000018,0.020000000000000018,0.020000000000000018
7B,counting,multimodal_connector_or_merger,0.07139765708759885,transition,64,-0.004374999999999983,0.0,0.009662265521087659,-0.039999999999999925,0.0,0.0,0.8125,0.0,0.0,0.0,0.004374999999999983,0.0,0.0,0.0,0.0,0.0
7B,spatial_reasoning,multimodal_connector_or_merger,0.07139765708759885,transition,64,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7B,ocr_text_recognition_grounded,multimodal_connector_or_merger,0.07139765708759885,transition,64,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7B,relational_reasoning,multimodal_connector_or_merger,0.07139765708759885,transition,64,-0.02156250000000002,-0.020000000000000018,0.015126420387851199,-0.040000000000000036,0.020000000000000018,0.015625,0.21875,0.015625,0.0,0.0003125000000000003,0.02187500000000002,-0.040000000000000036,-0.020000000000000018,-0.020000000000000018,0.0,0.0
7B,fine_grained_recognition,multimodal_connector_or_merger,0.07139765708759885,transition,64,0.0003124999999999994,0.0,0.002480391854123049,0.0,0.019999999999999962,0.015625,1.0,0.0,0.0,0.0003124999999999994,0.0,0.0,0.0,0.0,0.0,0.0
7B,visual_grounding,language,0.0035698828543799426,small,64,0.008437500000000007,0.0,0.01107061848994898,0.0,0.040000000000000036,0.390625,1.0,0.390625,0.0,0.008437500000000007,0.0,0.0,0.0,0.020000000000000018,0.020000000000000018,0.020000000000000018
7B,counting,language,0.0035698828543799426,small,64,-0.00468749999999998,0.0,0.009180269263480203,-0.039999999999999925,0.0,0.0,0.78125,0.0,0.0,0.0,0.00468749999999998,0.0,0.0,0.0,0.0,0.0
7B,spatial_reasoning,language,0.0035698828543799426,small,64,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7B,ocr_text_recognition_grounded,language,0.0035698828543799426,small,64,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7B,relational_reasoning,language,0.0035698828543799426,small,64,-0.020000000000000018,-0.020000000000000018,0.015000000000000013,-0.06000000000000005,0.0,0.0,0.265625,0.0,0.0,0.0,0.020000000000000018,-0.025000000000000022,-0.020000000000000018,0.0,0.0,0.0
7B,fine_grained_recognition,language,0.0035698828543799426,small,64,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7B,visual_grounding,language,0.017849414271899712,mid,64,0.021875000000000023,0.020000000000000018,0.018275239396516815,-0.019999999999999907,0.06000000000000005,0.71875,0.96875,0.71875,0.03125,0.02250000000000002,0.0006249999999999971,0.0,0.020000000000000018,0.040000000000000036,0.040000000000000036,0.040000000000000036
7B,counting,language,0.017849414271899712,mid,64,-0.033124999999999925,-0.029999999999999916,0.018781224001645905,-0.07999999999999996,0.0,0.0,0.0625,0.0,0.0,0.0,0.033124999999999925,-0.039999999999999925,-0.029999999999999916,-0.019999999999999907,-0.019999999999999907,-0.0030000000000001
7B,spatial_reasoning,language,0.017849414271899712,mid,64,0.0050000000000000044,0.0,0.009354143466934861,-0.020000000000000018,0.020000000000000018,0.265625,0.984375,0.265625,0.0,0.005312500000000005,0.0003125000000000003,0.0,0.0,0.020000000000000018,0.020000000000000018,0.020000000000000018
7B,ocr_text_recognition_grounded,language,0.017849414271899712,mid,64,-0.005343750000000008,0.0,0.010271652054927685,-0.02200000000000002,0.020000000000000018,0.0625,0.6875,0.03125,0.0,0.0006874999999999971,0.006031250000000005,-0.020000000000000018,0.0,0.0,0.0,0.0016999999999998958
7B,relational_reasoning,language,0.017849414271899712,mid,64,-0.0009375000000000112,0.0,0.025107192072193182,-0.06000000000000005,0.05999999999999994,0.328125,0.625,0.328125,0.03125,0.009062499999999998,0.010000000000000009,-0.020000000000000018,0.0,0.020000000000000018,0.020000000000000018,0.039999999999999925
