scale,capability,radius,radius_label,delta_sorted,ecdf
3B,counting,0.017849414271899712,mid,0.0,0.203125
3B,counting,0.017849414271899712,mid,0.0,0.21875
3B,counting,0.017849414271899712,mid,0.0,0.234375
3B,counting,0.017849414271899712,mid,0.0,0.25
3B,counting,0.017849414271899712,mid,0.0,0.265625
3B,counting,0.017849414271899712,mid,0.0,0.28125
3B,counting,0.017849414271899712,mid,0.0,0.296875
3B,counting,0.017849414271899712,mid,0.0,0.3125
3B,counting,0.017849414271899712,mid,0.0,0.328125
3B,counting,0.017849414271899712,mid,0.0,0.34375
3B,counting,0.017849414271899712,mid,0.0,0.359375
3B,counting,0.017849414271899712,mid,0.0,0.375
3B,counting,0.017849414271899712,mid,0.0,0.390625
3B,counting,0.017849414271899712,mid,0.0,0.40625
3B,counting,0.017849414271899712,mid,0.0,0.421875
3B,counting,0.017849414271899712,mid,0.0,0.4375
3B,counting,0.017849414271899712,mid,0.0,0.453125
3B,counting,0.017849414271899712,mid,0.0,0.46875
3B,counting,0.017849414271899712,mid,0.0,0.484375
3B,counting,0.017849414271899712,mid,0.0,0.5
3B,counting,0.017849414271899712,mid,0.0,0.515625
3B,counting,0.017849414271899712,mid,0.0,0.53125
3B,counting,0.017849414271899712,mid,0.0,0.546875
3B,counting,0.017849414271899712,mid,0.0,0.5625
3B,counting,0.017849414271899712,mid,0.0,0.578125
3B,counting,0.017849414271899712,mid,0.0,0.59375
3B,counting,0.017849414271899712,mid,0.0,0.609375
3B,counting,0.017849414271899712,mid,0.0,0.625
3B,counting,0.017849414271899712,mid,0.0,0.640625
3B,counting,0.017849414271899712,mid,0.0,0.65625
3B,counting,0.017849414271899712,mid,0.0,0.671875
3B,counting,0.017849414271899712,mid,0.019999999999999907,0.6875
3B,counting,0.017849414271899712,mid,0.019999999999999907,0.703125
3B,counting,0.017849414271899712,mid,0.019999999999999907,0.71875
3B,counting,0.017849414271899712,mid,0.019999999999999907,0.734375
3B,counting,0.017849414271899712,mid,0.019999999999999907,0.75
3B,counting,0.017849414271899712,mid,0.019999999999999907,0.765625
3B,counting,0.017849414271899712,mid,0.019999999999999907,0.78125
3B,counting,0.017849414271899712,mid,0.019999999999999907,0.796875
3B,counting,0.017849414271899712,mid,0.019999999999999907,0.8125
3B,counting,0.017849414271899712,mid,0.019999999999999907,0.828125
3B,counting,0.017849414271899712,mid,0.019999999999999907,0.84375
3B,counting,0.017849414271899712,mid,0.019999999999999907,0.859375
3B,counting,0.017849414271899712,mid,0.019999999999999907,0.875
3B,counting,0.017849414271899712,mid,0.019999999999999907,0.890625
3B,counting,0.017849414271899712,mid,0.019999999999999907,0.90625
3B,counting,0.017849414271899712,mid,0.019999999999999907,0.921875
3B,counting,0.017849414271899712,mid,0.019999999999999907,0.9375
3B,counting,0.017849414271899712,mid,0.019999999999999907,0.953125
3B,counting,0.017849414271899712,mid,0.019999999999999907,0.96875
3B,counting,0.017849414271899712,mid,0.039999999999999925,0.984375
3B,counting,0.017849414271899712,mid,0.039999999999999925,1.0
3B,counting,0.07139765708759885,transition,-0.08000000000000007,0.015625
3B,counting,0.07139765708759885,transition,-0.08000000000000007,0.03125
3B,counting,0.07139765708759885,transition,-0.06000000000000005,0.046875
3B,counting,0.07139765708759885,transition,-0.06000000000000005,0.0625
3B,counting,0.07139765708759885,transition,-0.06000000000000005,0.078125
3B,counting,0.07139765708759885,transition,-0.06000000000000005,0.09375
3B,counting,0.07139765708759885,transition,-0.040000000000000036,0.109375
3B,counting,0.07139765708759885,transition,-0.040000000000000036,0.125
3B,counting,0.07139765708759885,transition,-0.040000000000000036,0.140625
3B,counting,0.07139765708759885,transition,-0.040000000000000036,0.15625
3B,counting,0.07139765708759885,transition,-0.040000000000000036,0.171875
3B,counting,0.07139765708759885,transition,-0.040000000000000036,0.1875
