region_key,source,region,n_complete_trajectories,small_vs_mid_cosine_mean,small_vs_transition_cosine_mean,mid_vs_transition_cosine_mean
stage8:language,stage8,language,64,0.11804627156332703,0.1230598979786032,0.3822430765401023
stage8:multimodal_connector_or_merger,stage8,multimodal_connector_or_merger,64,0.04449261385948048,0.03788029370920211,0.22482654748039177
stage8:vision,stage8,vision,64,0.1938855178259783,0.052317286114587844,0.16370495282143788
stage9:language_early,stage9,language_early,64,0.08626579456574701,0.09368361882182116,0.4517095874644384
stage9:language_late,stage9,language_late,64,0.2912148579532998,-0.001602472493694661,0.3849998906699882
stage9:language_mid,stage9,language_mid,64,-0.011447275359966515,-0.06935806481017756,0.22134363338950844
stage9:vision_early,stage9,vision_early,64,0.006164063430445956,0.033703566303110236,0.08118948434668241
stage9:vision_late,stage9,vision_late,64,0.2999478338063238,-0.05833254765019408,0.2257366001947393
stage9:vision_mid,stage9,vision_mid,64,0.33775600712043363,-0.018332398475792953,0.15976352384518425
