parent,capability,radius,region_a,region_b,mean_delta_diff,mean_delta_diff_bh_q,density_ge_0.02_diff,density_ge_0.02_diff_bh_q,positive_thicket_mass_diff,positive_thicket_mass_diff_bh_q
vision,counting,0.0035698828543799426,vision_early,vision_mid,0.0009374999999999956,1.0,0.0,1.0,0.0009374999999999956,1.0
vision,counting,0.0035698828543799426,vision_early,vision_late,0.003437499999999984,0.26252307692307697,0.0,1.0,0.003437499999999984,0.9212400000000001
vision,counting,0.0035698828543799426,vision_mid,vision_late,0.0024999999999999883,0.5549294117647059,0.0,1.0,0.0024999999999999883,1.0
vision,counting,0.017849414271899712,vision_early,vision_mid,0.0006249999999999954,1.0,0.015625,1.0,0.001249999999999996,1.0
vision,counting,0.017849414271899712,vision_early,vision_late,-0.0009374999999999991,1.0,0.015625,1.0,1.734723475976807e-18,1.0
vision,counting,0.017849414271899712,vision_mid,vision_late,-0.0015624999999999944,0.9931090909090909,0.0,1.0,-0.0012499999999999942,1.0
vision,counting,0.07139765708759885,vision_early,vision_mid,-0.015312499999999988,0.0,-0.078125,0.9783000000000001,-0.0062499999999999795,0.0324
vision,counting,0.07139765708759885,vision_early,vision_late,-0.01593749999999999,0.0,-0.09375,0.7128,-0.006249999999999981,0.0324
vision,counting,0.07139765708759885,vision_mid,vision_late,-0.0006250000000000023,1.0,-0.015625,1.0,-1.734723475976807e-18,1.0
vision,fine_grained_recognition,0.0035698828543799426,vision_early,vision_mid,0.0,1.0,0.0,1.0,0.0,1.0
vision,fine_grained_recognition,0.0035698828543799426,vision_early,vision_late,0.0,1.0,0.0,1.0,0.0,1.0
vision,fine_grained_recognition,0.0035698828543799426,vision_mid,vision_late,0.0,1.0,0.0,1.0,0.0,1.0
vision,fine_grained_recognition,0.017849414271899712,vision_early,vision_mid,-0.0009374999999999982,0.9532285714285713,0.0,1.0,0.0,1.0
vision,fine_grained_recognition,0.017849414271899712,vision_early,vision_late,-0.0006249999999999988,1.0,0.0,1.0,0.0,1.0
vision,fine_grained_recognition,0.017849414271899712,vision_mid,vision_late,0.0003124999999999994,1.0,0.0,1.0,0.0,1.0
vision,fine_grained_recognition,0.07139765708759885,vision_early,vision_mid,0.0037499999999999947,0.24741818181818181,0.015625,1.0,0.0003125000000000003,1.0
vision,fine_grained_recognition,0.07139765708759885,vision_early,vision_late,0.01124999999999999,0.0,0.015625,1.0,0.0003125000000000003,1.0
vision,fine_grained_recognition,0.07139765708759885,vision_mid,vision_late,0.0074999999999999945,0.01485,0.0,1.0,0.0,1.0
vision,ocr_text_recognition_grounded,0.0035698828543799426,vision_early,vision_mid,-0.0025000000000000022,0.051685714285714286,0.0,1.0,0.0,1.0
vision,ocr_text_recognition_grounded,0.0035698828543799426,vision_early,vision_late,-0.0006250000000000006,1.0,0.0,1.0,0.0,1.0
vision,ocr_text_recognition_grounded,0.0035698828543799426,vision_mid,vision_late,0.0018750000000000017,0.14687999999999998,0.0,1.0,0.0,1.0
vision,ocr_text_recognition_grounded,0.017849414271899712,vision_early,vision_mid,-0.0009062499999999991,1.0,0.0,1.0,3.125000000000003e-05,1.0
vision,ocr_text_recognition_grounded,0.017849414271899712,vision_early,vision_late,1.734723475976807e-18,1.0,0.0,1.0,0.0,1.0
vision,ocr_text_recognition_grounded,0.017849414271899712,vision_mid,vision_late,0.0009062500000000008,1.0,0.0,1.0,-3.125000000000003e-05,1.0
vision,ocr_text_recognition_grounded,0.07139765708759885,vision_early,vision_mid,-0.0002812499999999985,1.0,0.03125,1.0,0.0006250000000000006,1.0
vision,ocr_text_recognition_grounded,0.07139765708759885,vision_early,vision_late,0.001281249999999989,1.0,0.0625,0.9783000000000001,0.001156250000000001,0.9820285714285715
vision,ocr_text_recognition_grounded,0.07139765708759885,vision_mid,vision_late,0.0015624999999999875,1.0,0.03125,1.0,0.0005312500000000005,1.0
vision,relational_reasoning,0.0035698828543799426,vision_early,vision_mid,0.00937500000000001,0.1398,0.015625,1.0,0.0003125000000000003,1.0
vision,relational_reasoning,0.0035698828543799426,vision_early,vision_late,0.006875000000000001,0.29545714285714286,0.015625,1.0,0.001249999999999996,1.0
vision,relational_reasoning,0.0035698828543799426,vision_mid,vision_late,-0.002500000000000009,1.0,0.0,1.0,0.0009374999999999956,1.0
vision,relational_reasoning,0.017849414271899712,vision_early,vision_mid,0.011875000000000004,0.042300000000000004,0.125,0.9783000000000001,0.0037499999999999964,0.9212400000000001
vision,relational_reasoning,0.017849414271899712,vision_early,vision_late,0.012812500000000006,0.03132,0.140625,0.9783000000000001,0.003437499999999998,0.9820285714285715
vision,relational_reasoning,0.017849414271899712,vision_mid,vision_late,0.0009375000000000026,1.0,0.015625,1.0,-0.00031249999999999854,1.0
vision,relational_reasoning,0.07139765708759885,vision_early,vision_mid,-0.0037499999999999964,1.0,0.015625,1.0,-0.003124999999999996,1.0
vision,relational_reasoning,0.07139765708759885,vision_early,vision_late,0.003437499999999998,1.0,0.140625,0.9783000000000001,0.003124999999999996,1.0
vision,relational_reasoning,0.07139765708759885,vision_mid,vision_late,0.007187499999999994,0.722178947368421,0.125,0.9783000000000001,0.006249999999999992,1.0
vision,spatial_reasoning,0.0035698828543799426,vision_early,vision_mid,-0.007187499999999986,0.078975,-0.1875,0.7128,-0.003437500000000003,0.9212400000000001
vision,spatial_reasoning,0.0035698828543799426,vision_early,vision_late,-0.0034374999999999926,0.6527999999999999,-0.109375,0.9783000000000001,-0.0015625000000000014,1.0
